文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1,时间
按照政策，凡是省会城市或城区常住人口超过万的城市，省会城市或城区常住人口超过万的城市。按照相关指标推算，纳入城中村改造、保障房建设的城市分别是个、个。广州市个城中村改造项目获得国家开发银行、农业发展银行首批城中村改造专项借款授信亿元，首笔发放亿元。合肥市包河区周谷堆片区等个城中村改造项目全部通过住建部审查，获得国家开发银行、中国农业发展银行首批城中村改造专项借款授信亿元，已签订借款合同亿元。郑州市申报首批城中村改造专项借款的个项目全部通过住建部审批，年计划发放额度亿元。发放当天，国家开发银行河南分行、中国农业发展银行河南省分行已向航空港区、惠济区放款亿元。济南也获得了首批城中村改造专项借款授信亿元，已发放款项亿元。;0.043010752688172;-0.3850483942878429;0.6847432775663828;-0.05546381541970493,,,,,
各地加速推进城中村改造专项贷款城获授信额度超万亿财联社月日讯（记者王海春）各地城中村改造专项贷款相关事宜，正在加速推进。据深圳当地媒体报道，日前深圳大鹏新区白石岗片区城中村改造项目获得国开银深圳市分行专项贷款支持，成功发放首笔借款。据悉，该笔贷款是深圳发放的首笔超大特大城市城中村改造项目专项贷款，将全部用于白石岗项目前期工作、征收补偿安置、安置住房建设以及安置住房小区的配套基础设施建设等。而在月日，上海首单城中村改造专项借款落地，规模亿元。国开行上海市分行向上海金桥集团有限公司发放首笔城中村改造专项借款，用于浦东新区唐镇小湾村、暮二村等地块城中村改造项目的前期工作和征收补偿。在此之前，广州、郑州、青岛、济南、合肥、沈阳、石家庄等地，先后公布了城中村改造借款最新进展。;0.1720430107526881;0.1828906219202486;0.9510323299533094;0.14635695216298664,,,,,
深圳城中村改造新玩法改造资金来自哪里？放水又一凭证。以前是房企申请贷款，现在的新模式城投牵头，央企代建，向国家开发银行申请专项贷款，然后深圳市分行批复专款支持。如今，深圳已成功发放首笔城中村改造借款。该笔借款要专款专用，首个落地项目为大鹏新区白石岗项目前期工作、征收补偿安置、展开;0.053763440860215;0.3423369579647412;0.5582155162881783;0.050249570286219555,,,,,
农文旅产业振兴研究院中关村物联网产业联盟高质量发展专精特新企业高质量发展促进工程城中村改造农村金融时报多个城中村改造项目获得专项借款在接受《农村金融时报》记者采访时表示，城中村改造，既是一项保障民生的托底工程，也是一项提升品质的发展工程。城中村改造专项借款的落地不仅有效缓解项目改造建设资金压力，也为改善城市空间结构、优化产业布局、改善民生和扩大内需注入了强劲动力。国家开发银行和农发行的相关分行在发放城中村改造专项借款时，需要进行严格的项目评估和风险控制。这包括：评估项目的可行性、预期收益、还款来源等，确保资金的安全性与合规性。针对不同城中村改造项目的特点和需求，国家开发银行和农发行的相关分行可以设计定制化的金融产品。比如：提供不同期限、利率和还款方式的贷款，以满足项目方的具体需求。链接地址：多个城中村改造项目获得专项借款;0.064516129032258;0.937799446166972;0.7608258639626476;0.2251402514356132,,,,,
亿元，全国超大特大城市城中村改造专项借款在上海首单落地月日，国家开发银行上海市分行向上海金桥（集团）有限公司发放首笔城中村改造专项借款亿元，用于浦东新区唐镇小湾村、暮二村等地块城中村改造项目前期工作、征收补偿等，该项目列入住建部年城中村改造专项借款项目清单。展开;0.021505376344086;0.6167536408918277;0.6847432775663828;0.044419754250790984,,,,,
上海首单城中村改造专项借款落地，规模亿元月日，国家开发银行上海市分行向上海金桥（集团）有限公司发放首笔城中村改造专项借款亿元，用于浦东新区唐镇小湾村、暮二村等地块城中村改造项目前期工作、征收补偿等，该项目列入住建部年城中村改造专项借款项目清单。（上观新闻）;0.1827956989247312;0.5029753371155349;0.5667878207464315;0.25487238202116524,,,,,
全国首批城中村改造专项借款成功落地西安据西安市住房和城乡建设局官方微信公众号“西安住建”日消息，月日，西安市高新区、浐灞生态区个城中村改造项目获得国家开发银行陕西省分行全国首批城中村改造专项借款亿元。此次全国首批城中村改造亿元专项借款的发放，标志着西安市新城中村改造工作实现良好开局。新闻发布会超话;0.032258064516129;0.4963835500204105;0.6847432775663828;0.053625711736760694,,,,,
亿元国家首批城中村改造专项借款落地郑州月日，国家首批城中村改造专项借款发放，郑州市申报首批城中村改造专项借款的个项目全部通过住建部审批，年计划发放额度亿元。发放当天，国家开发银行河南分行、中国农业发展银行河南省分行已向航空港区、惠济区放款亿元，用于项目前期工作、征收补偿、安置房和配套基础设施建设等。城中村改造是加快建设宜居、韧性、智慧的现代化城市的重要依托，也是满足人民群众对美好城市生活全新期待的实践路径。年月，国务院办公厅印发《关于在超大特大城市积极稳步推进城中村改造的指导意见》，郑州被列入个国家政策支持的试点城市之一。以此为契机，郑州市结合安置房建设和城市更新工作，制定了积极稳步推进城中村改造实施方案，以及历史文化传承保护方案、优化提升规划设计政策措施等，为城中村改造工作提供了有力政策支撑。年月，郑州市个城中村改造项目集中开工，总投资约亿元。改造重点是“消化存量、控制增量”，对于已拆迁项目，在加快建设改造进度的同时，积极采取“建设租赁购买”及货币化组合安置方式，确保尽快实现首套房未回迁群众户均套安置住房。对于尚未拆迁的村庄，坚持“非必要不拆迁”，以整治提升为主，确需拆除新建的，坚持规划先行、依法征收，先谋后动、动则必快、动则必成，确保把好事办好、实事办实。省住房城乡建设厅相关负责人表示，此次城中村改造专项借款资金到位后，将积极加强对郑州市城中村改造工作的调度指导，快速审批、拨付，迅速转化为有效投资，助推城中村改造工作提速增效。（来源：河南日报客户端）;1.0;-0.2546526250372294;0.8029014411592791;-1.0,,,,,
亿元国家首批城中村改造专项借款落地郑州月日，国家首批城中村改造专项借款发放，郑州市申报首批城中村改造专项借款的个项目全部通过住建部审批，年计划发放额度亿元。发放当天，国家开发银行河南分行、中国农业发展银行河南省分行已向航空港区、惠济区放款亿元，用于项目前期工作、征收补偿、安置房和配套基础设施建设等。;0.075268817204301;0.2049849579500501;0.6847432775663828;0.0516719042862761,,,,,
实时快报：亿元国家首批城中村改造专项借款落地郑州云财经讯，月日，国家首批城中村改造专项借款发放。郑州市的个项目已通过住建部审批，计划在年发放总额为亿元的借款。发放当天，国家开发银行河南分行和中国农业发展银行河南省分行已向航空港区和惠济区放款亿元，用于项目前期工作、征收补偿、安置房和配套基础设施建设等。;0.021505376344086;0.4233170169802578;0.6847432775663828;0.030488085708340284,,,,,
亿元国家首批城中村改造专项借款落地郑州财联社月日电，国家首批城中村改造专项借款月日发放，郑州市申报首批城中村改造专项借款的个项目全部通过住建部审批，年计划发放额度亿元。发放当天，国家开发银行河南分行、中国农业发展银行河南省分行已向航空港区、惠济区放款亿元，用于项目前期工作、征收补偿、安置房和配套基础设施建设等。河南日报;0.4193548387096774;0.0215484243235404;0.8559290969579785;0.03782897490359237,,,,,
首批城中村改造项目专项借款发放据国家开发银行、中国农业发展银行，首批城中村改造项目专项借款，月日起陆续在广州、郑州等城市发放，涉及项目超过个。（中国建设报）网页链接;0.075268817204301;0.6092938767732693;1.0;0.22430115517349652,,,,,
海口回应放松楼市限售政策属实针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。房地产（中证金牛座）;0.0024559375902918;0.2056909513053453;0.5161142941256004;0.001453785372474637,,,,,
楼市动态网传海口放松楼市限售政策？官方回应消息属实月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。;0.0001444669170759;0.9998763211120844;0.7042922326571146;0.0005672695626666827,,,,,
网传海口放松楼市限售政策？官方回应消息属实据中国证券报报道，月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。;0.0001444669170759;-0.1627906976744191;0.706248599970051;-9.261417953880237e-05,,,,,
能领多少，能领多久。领导顶着上限，员工卡着底线，这中间天差地别。这种工作强度，您还打算延退，积劳成疾的身体，领不到养老金，钱都给了医院，也就快再见了。原来担心养老金，现在要担心，下个月吃什么了。财政部回应养老金担忧;0.0226813059809303;-0.0319852953954518;0.5432697117675747;-0.002197636252949429,,,,,
财政部回应养老金担忧数据显示，截至年底，基本养老保险基金委托投资运营规模达万亿元，较前三季度增加万亿元。;0.0001444669170759;0.0655472988680687;0.7042922326571146;3.718758688226155e-05,,,,,
财政部回应养老金担忧养老金基金怎么办呢？;0.0037561398439757;0.4755210803517975;1.0;0.009959405651637316,,,,,
戳图快速了解个人养老金制度为何要发展个人养老金制度？个人养老金缴纳金额是多少？个人养老金如何领取、是否可继承？解答来了，快戳图了解学习相关法律知识人力资源和社会保障部浙江发布网友讨论财政部回应养老金担忧，相关知识了解一下，退休后养老保障很重要，转存微分享法姐讲法四川监狱浙江天气厦门天气在线转给更多人;0.0034672060098237;0.5236436442698649;0.5714014545624321;0.005784671740340768,,,,,
财政部回应养老金担忧只生一个好（）来养老。广大农村的老人有没有退休一说？有没有养老金？保险是怎么个情况？苦。;0.0014446691707598;-0.1278159783328059;0.7042922326571146;-0.0007251508271549251,,,,,
海口放松楼市限售政策消息属实月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。（中证金牛座）;0.0021670037561398;0.8251578472288473;0.8711920072406588;0.008686253004335317,,,,,
实时播报：网传海口放松楼市限售政策？官方回应称消息属实月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。（中证金牛座）;0.0015891360878358;-0.1486390720881537;0.5600546930803104;-0.0007376433148678242,,,,,
海口回应放松楼市限售政策属实针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。（中证金牛座）;0.0005778676683039;0.9831572987153612;0.7042922326571146;0.002231136788017168,,,,,
很多人杞人忧天了财政部回应养老金担忧养老金按时足额发放有保证在月日的国新办新闻发布会上，财政部相关负责人表示，近几年我国养老保险基金收支状况得到有效改善。截至年底，全国企业职工基本养老保险基金累计结余接近万亿元，养老金按时足额发放是能够保证的。;0.0069344120196475;0.3834401824058222;0.7101613345959239;0.01052897712996655,,,,,
财政部：养老金按时足额发放有保证月日上午，国新办举行年全年财政收支情况新闻发布会。有记者提问，随着我国人口老龄化程度加深，人们对养老金的按时足额发放，以及养老金制度能否持续有所担忧。请问财政部对此有何回应？财政部资产管理司司长侯俊明应询表示，为确保养老金按时足额发放，近年来各级财政部门积极发挥职能作用，重点从三个方面发力：一是不断加大财政补助力度。年，中央财政安排基本养老保险补助资金约万亿元，重点向基金收支困难的中西部地区和老工业基地倾斜；地方各级财政也积极落实相关支出责任，确保及时足额发放基本养老金。二是实施养老保险全国统筹。按照中央部署，这项制度自年起开始实施，在全国范围内对各地基金结余进行合理调剂。年全国统筹调剂资金规模达到亿元，有效解决了地区间养老负担和基金结余分布不均衡的问题。三是加强养老保险基金管理。配合有关部门，规范各地基金收支行为，促进筹资和待遇政策更加公平合理，推动养老保险制度更加公平更可持续。“通过落实上述措施，近几年基金收支状况得到有效改善。截至年底，全国企业职工基本养老保险基金累计结余已接近万亿元，养老金按时足额发放是能够保证的。”侯俊明说。;0.0026004045073678;0.9831572987153612;0.7082049672829874;0.010095893965778653,,,,,
财政部回应养老金担忧这万亿够股亏几天的？？据彭博社统计，中国的股市（包括香港）过去年跌掉了万亿的市值。股超话基金超话;0.0052008090147356;0.0536244561241376;0.706248599970051;0.0010982805701536063,,,,,
财政部回应养老金担忧我比较担心的是后的养老金以后能足额发放吗？;0.0037561398439757;-0.61236790213595;0.9782725253253668;-0.012546885148393385,,,,,
财政部回应养老金担忧以后以后以后，不是现在;0.9549263218722912;0.2312457648637448;0.8121466430591014;1.0,,,,,
财政部回应养老金担忧财政部：养老金按时足额发放是能够保证的，去年不存在财政支出收缩的情况;0.0014446691707598;-0.230021490562731;0.706248599970051;-0.0013086283140931025,,,,,
财政部回应养老金担忧当下是足够的，我们担心的是我等我们老了;0.0026004045073678;0.0733126156836591;0.7042922326571146;0.000748676873386327,,,,,
我觉得现在的年轻人就应该多生孩子，有足够多的年轻人来工作这样以后就不怕养老金不够用了财政部回应养老金担忧;0.0300491187518058;0.2145323643162915;0.4270828713983575;0.015351775378049541,,,,,
财政部回应养老金担忧养老金稳中向好。不缺请大家放心。;0.0104016180294712;-0.0312059442290522;0.4858415641994419;-0.0008793358716546626,,,,,
财政部回应养老金担忧：结余近万亿，能够保证按时足额发放月日上午，国务院新闻办召开新闻发布会，介绍年全年财政收支情况，并回答问题。有记者提问，随着我国人口老龄化程度加深，人们对养老金的按时足额发放，以及养老金制度能否持续有所担忧。请问财政部对此有何回应？财政部资产管理司司长侯俊明表示，这是一个大家都非常关心的问题。我国人口老龄化加快发展，老有所养是一项重要的民生工程。养老金的发放，关系到千家万户，关系到百姓福祉。为确保养老金按时足额发放，近年来各级财政部门积极发挥职能作用，重点从三个方面发力：一是不断加大财政补助力度。年，中央财政安排基本养老保险补助资金约万亿元，重点向基金收支困难的中西部地区和老工业基地倾斜；地方各级财政也积极落实相关支出责任，确保及时足额发放基本养老金。二是实施养老保险全国统筹。按照中央部署，这项制度自年起开始实施，在全国范围内对各地基金结余进行合理调剂。年全国统筹调剂资金规模达到亿元，有效解决了地区间养老负担和基金结余分布不均衡的问题。三是加强养老保险基金管理。配合有关部门，规范各地基金收支行为，促进筹资和待遇政策更加公平合理，推动养老保险制度更加公平更可持续。通过落实上述措施，近几年基金收支状况得到有效改善。截至年底，全国企业职工基本养老保险基金累计结余已接近万亿元，养老金按时足额发放是能够保证的。同时，按照党中央、国务院决策部署，我们还安排专门资金，支持实施居家和社区基本养老服务提升行动、经济困难失能老年人集中照护等养老服务项目，出台一系列支持养老服务业发展的税费优惠政策，大力支持银发经济发展，让老年人有了“养老钱”，还能够享受买得起、用得好的养老服务。年，我们将重点做好两方面工作。一方面，进一步加大中央财政补助力度，深入实施养老保险全国统筹制度，健全相关体制机制，管好守好人民群众的“养老钱”。另一方面，进一步加大对养老服务的支持力度，健全机构、社区和居家养老服务网络，推动养老事业和养老产业协同发展，促进养老服务提质增效。来源：国新网;0.0002889338341519;0.6420480233179139;0.9391293348804498;0.0009714338101714764,,,,,
财政部回应养老金担忧：结余近万亿，能够保证按时足额发放养老金按时足额发放有保证在月日的国新办新闻发布会上，财政部相关负责人表示，近几年我国养老保险基金收支状况得到有效改善。截至年底，全国企业职工基本养老保险基金累计结余接近万亿元，养老金按时足额发放是能够保证的。随着我国人口老龄化程度加深，人们对养老金的按时足额发放，以及养老金制度能否持续有所担忧。对此，财政部资产管理司司长侯俊明表示，为确保养老金按时足额发放，近年来各级财政部门不断加大财政补助力度，年，中央财政安排基本养老保险补助资金约万亿元，重点向基金收支困难的中西部地区和老工业基地倾斜；地方各级财政也积极落实相关支出责任，确保及时足额发放基本养老金。年起，我国实施养老保险全国统筹。在全国范围内对各地基金结余进行合理调剂。年全国统筹调剂资金规模为亿元，有效解决了地区间养老负担和基金结余分布不均衡的问题。此外，财政部配合有关部门，规范各地基金收支行为，促进筹资和待遇政策更加公平合理，推动养老保险制度更加公平更可持续。对年的养老金发放，侯俊明表示，将进一步加大中央财政补助力度，深入实施养老保险全国统筹制度，健全相关体制机制。同时，进一步加大对养老服务的支持力度，健全机构、社区和居家养老服务网络，推动养老事业和养老产业协同发展。;1.0;0.0651597059098952;0.8415440021589288;0.3057580069839984,,,,,
财政部回应民众对养老金发放的担忧网页链接;0.0001444669170759;-0.454545454545455;0.7042922326571146;-0.00025788169573347084,,,,,
今天住建部召开城市房地产融资协调机制部署会，要求月底前，首批房地产项目名单将落地并争取贷款。这不是新的消息，是月初《金融监管总局关于建立城市房地产融资协调机制的通知》就提出的要求。注意是“房地产项目”名单，而不是房企名单，延续了年救项目不救企业是房地产基金底线原则，救项目不救房企。;1.0;0.2514991091794929;1.0;1.0,,,,,
住建部：充分赋予城市房地产调控自主权推动融资协调机制落地住建部：充分赋予城市房地产调控自主权推动融资协调机制落地房地产融资端和需求端再出支持性政策。住建部和金融监管总局联合发文建立城市房地产融资协调机制后，月日，住建部在北京召开城市房地产融资协调机制部署会，推动落实这一机制在各地落地。据财新了解，除了金融监管部门人员出席外，另有个重点城市相关部门分管人员参会。一名接近住建部的人士向财新表示，协调机制的建立主要为改善房企融资环境，此次会议主要是“把责任压实到城市”，针对一些“保交楼”资金有困难、短期内因市场环境变化而遇到资金问题、融资难导致交付有压力等项目，“政府列名单、金融机构给支持”。;0.6666666666666666;0.0296010160445194;0.8720346222142971;0.06842465811709683,,,,,
月日，国家金融监督管理总局召开会议部署落实城市房地产融资协调机制相关工作。会议强调，金融机构要高度重视，加强组织领导，建立内部机制，明确工作规则。对符合授信条件的项目，要建立授信绿色通道，优化审批流程、缩短审批时限，积极满足合理融资需求。对开发建设暂时遇到困难但资金基本能够平衡的项目，不盲目抽贷、断贷、压贷，通过存量贷款展期、调整还款安排、新增贷款等方式予以支持。同时，金融机构要加强资金封闭管理，严防信贷资金被挪用。会议要求，各监管局要积极参与协调机制，主动配合地方政府和住建部门，稳妥有序开展相关工作，共同推动协调机制落地见效，促进房地产市场平稳健康发展。;0.0384615384615384;0.2099205559702321;0.905810529187493;0.02907920529192398,,,,,
东方财富股票利好来袭金融监管总局最新发声事关房地产融资月日，金融监管总局召开会议，部署推动落实城市房地产融资协调机制相关工作。利好来袭金融监管总局最新发声事关房地产融资来自东方财富网;0.0128205128205128;0.9998883791306556;0.905810529187493;0.046169782835802226,,,,,
住房新政出炉到底能省多少钱？海宁多家银行回应重磅万众期待的存量房贷利率下调终于落地月日晚间，中国人民银行国家金融监督管理总局，日下发《关于调整优化差别化住房信贷政策的通知》《关于降低存量首套住房贷款利率有关事项的通知》决定调整优化差别化住房信贷政策，其中提到，自年月日起，存量房贷利率下调。就在昨天下午，浙江公布首套住房商业性个人住房贷款利率政策下限，可作为接下来降存量的具体标准。按照该数据，年月至年月嘉兴存量首套房贷调整后最低可降至，年月至今的存量首套房贷利率调整后最低降至。不少在年期间买房的海宁人，房贷利率都高达个点存量首套房贷利率下调后，到底能为大家省多少利息呢？以万房贷为例，按照等额本息的方式还款，如果当时存量房贷发生时最低下限是，购房者当初最高是按左右购房，调整之后，万年期限的房贷，月供可从每月元降至元，最多下调元左右。大潮网;0.0004257130693912;-0.7564049251762381;0.808492540887252;-0.009410553942571846,,,,,
最新消息有关无锡首套房贷利率月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日下午，中国人民银行江苏省分行官网发布消息，公布了近几年江苏省内各城市首套房贷款利率下限执行情况。（中国人民银行江苏省分行官网）;0.0004257130693912;0.2877814258285525;0.7019320842520224;0.003108441344808026,,,,,
山东首套房商贷利率政策下限情况公示月日下午，中国人民银行山东省分行官网发布《关于山东省各地市首套住房商业性个人住房贷款利率政策下限情况的公示》。根据《中国人民银行国家金融监督管理总局关于降低存量首套住房贷款利率有关事项的通知》《中国人民银行国家金融监督管理总局关于调整优化差别化住房信贷政策的通知》有关工作安排，现将山东省各地市首套住房商业性个人住房贷款利率政策下限数据予以公示。山东省各地市首套住房商业性个人住房贷款利率政策下限数据表注：为贷款市场报价利率，由中国人民银行授权全国银行间同业拆借中心于每月日公布；。中国人民银行山东省分行年月日来源：观海客户端;0.0029799914857386;0.3216951283969065;0.4609809366433238;0.01597387616090065,,,,,
西南证券首席分析师张刚：楼市政策有利于扩大可支配收入本周房地产政策持续加码，中国央行及金融监管总局近期联合发布《关于调整优化差别化住房信贷政策的通知》和《关于降低存量首套住房贷款利率有关事项的通知》，对于贷款购买商品住房的居民家庭，首套最低首付款比例统一为不低于，二套最低首付款比例统一为不低于；此外，存量首套房贷的借款人，可在月日起可向承贷金融机构提出申请，调降贷款利率。西南证券首席分析师张刚指出，对于借款人来说，有利于节约利息支出，扩大可支配收入。中国深度财经凤凰卫视的微博视频;0.0006385696040868;-0.3063304902980012;0.7019320842520224;-0.0049631957229837285,,,,,
特别关注重要调整事关房贷中国人民银行、金融监管总局月日联合发布《关于调整优化差别化住房信贷政策的通知》和《关于降低存量首套住房贷款利率有关事项的通知》。有关负责同志就政策调整回答了记者提问。详情请看重要调整事关房贷;0.0001064282673478;0.146475466574167;0.4475550085011341;0.0002521948091175083,,,,,
首套房按揭利率政策下限公布宿迁月日晚，中国人民银行国家金融监督管理总局发布关于调整优化差别化住房信贷政策的通知、关于降低存量首套住房贷款利率、有关事项的通知。月日下午，中国人民银行江苏省分行发文公布江苏省各设区市首套房按揭利率政策下限，供大家参考。具体如下：;0.0001064282673478;-0.257282323864348;0.7017399320252903;-0.0006945619246075214,,,,,
房贷利率下调个贷经理电话被打爆沉寂许久的楼市热情，在月日晚间被点燃。当天，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》（下文简称《通知》），存量首套房贷利率下调政策落地，购房族迎来重大利好。“今天我的电话就没停过，喉咙都要干了。”杭州某国有银行个贷楚经理昨天告诉记者，他的微信、电话，完全停不下来。什么时候可以申请？需要符合什么条件？能省多少钱？点击下方图片查看全文;0.000532141336739;-0.0506405035818657;0.7025085409322184;-0.0006842967233121408,,,,,
皋城百事通南通首套房按揭利率政策下限公布月日晚，中国人民银行国家金融监督管理总局发布关于调整优化差别化住房信贷政策的通知，关于降低存量首套住房贷款利率有关事项的通知。政策发布后，很多人纷纷猜测自己的房贷利率到底能降低多少，月日下午，中国人民银行江苏省分行发文公布江展开;0.0004257130693912;0.117657931106467;0.7019320842520224;0.0012708699894127423,,,,,
月日起杭州人可申请下调房贷利率了月日，中国人民银行、国家金融监管管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》（下称《通知》，提出自今年月日起，存量首套住房商业性个人住房贷款的借款人可向金融机构提出申请，由金融机构新发放贷款置换存量首套商业性个人住房贷款，或协商变更合同约定的利率水平。月日，浙江公布首套住房商业性个人住房贷款利率政策下限，可作为接下来降存量的具体标准。按照该数据，年月至年月杭州存量首套房贷调整后最低可降至，年月至今的存量首套房贷利率调整后最低降至。利率下调杭州人抓紧存钱浙江经视记者初步统计，杭州包括中农工建等六大国有行，以及兴业银行、杭州银行等股份制银行都已发布通告，将会落实执行政策，而宁波银行表示暂未街接到相关通知。现在可以买房了吗？浙江经视的微博视频;0.0012771392081736;-0.3501963388783762;0.9900865460210552;-0.01600629578990815,,,,,
小鲁说事存量房贷利率下调政策五大关键点对于中国人民银行、金融监管总局发布的《关于降低存量首套住房贷款利率有关事项的通知》，我们该如何理解？降低存量首套住房贷款利率，具体又该怎么操作？接下来，通过梳理政策五大关键点来帮您解读。央视网的微博视频;0.0014899957428693;0.4561290178742854;0.6608062401426205;0.016233594920575394,,,,,
降存量房贷利率有购房者激动得一夜没睡“总利息少了万，每月少还多元”月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。（视频）视频的微博视频;0.0013835674755214;-0.3046883912958277;0.4992694413013772;-0.007607799822518608,,,,,
淮安公安淮安分局超话利息少了万购房者激动得一夜没睡降存量房贷利率央行、金融监管总局重磅发布有购房者激动得一夜没睡“总利息少了万，每月少还多元”你的月供究竟能降多少？月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。（视频）视频的微博视频（来源：视频审核：蒋婵媛发布：蔡瑞永）;0.0026607066836951;-0.0534130585970776;0.6709136500616187;-0.0034465050244498747,,,,,
利息少了万购房者激动得一夜没睡降存量房贷利率央行、金融监管总局重磅发布你的月供究竟能降多少？月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。（视频）视频的微博视频;0.0083014048531289;-0.2227159021094914;0.498231994547337;-0.033296782889624434,,,,,
上海、北京、深圳等多地披露首套房贷款利率下限执行情况据不完全统计，上海、北京、深圳、福建、河南、江西、湖南、吉林、甘肃、西藏、内蒙古、贵州等地的市场利率定价自律机制通过中国人民银行分支机构官网发布公告，披露近几年当地或省内各城市首套房贷款利率下限执行情况，以确保存量房贷利率调整顺利落地。多地披露首套房贷款利率下限全国首套房贷利率政策下限为：年月至年月为，年月至今为个基点。月日，中国人民银行、金融监管总局联合发布的《关于降低存量首套住房贷款利率有关事项的通知》明确，自月日起，符合相关条件的存量房贷借款人，可向金融机构提出申请，既可以变更合同约定的住房贷款利率加点幅度，也可以由银行新发放贷款置换存量贷款。降低后的存量房贷利率，依然要符合贷款发放时当地的房地产政策，即不低于当时所在城市房贷利率政策下限。也就是说，存量房贷利率调整最多可以“抹平”银行在发放房贷时高于政策下限的“溢价”。（上证报）;0.0001064282673478;-0.31502902045574;0.7017399320252903;-0.0008504554820109872,,,,,
